com.waqu.android.general_video	waqu
com.ninexiu.sixninexiu	jiuxiuzhibo
cn.myhug.baobao	baobaozhibo
com.youku.crazytogether	laifengzhibo
com.mobimtech.natives.ivp	aimizhibo
com.wandoujia.eyepetizer	kaiyan
com.cctv4g.cctvmobiletv	shoujicctv
com.v1.video	diyishipin
com.ztgame.dudu	duduquanminzhibo
com.lehai.ui	lehaizhibo
com.renren.mobile.android	renrenzhibo
taole.com.quokka	suiyuzhibo
com.tiange.hz.happy88	huanlezhibo
com.sohu.qianfan	qianfanzhibo
com.gameabc.zhanqiAndroid	zhanqizhibo
com.huomaotv.mobile	huomaozhibo
cmccwm.mobilemusic	miguyinyue
com.tencent.qqmusic	qqyinyue
cn.kuwo.player	kuwo.music
com.djbox.product	djyinlehe
fm.xiami.main	xiamiyinyue
com.kugou.android	kugouyinyue
bubei.tingshu	lanrentingshu
com.changba	changba
com.netease.cloudmusic	163yunyinyue
fm.qingting.qtradio	qingtingfm
com.ximalaya.ting.android	ximalayating
com.yibasan.lizhifm	lizhifm
cn.banshenggua.aichang	aichang
com.ifeng.fhdt	fenghuangfm
com.tencent.karaoke	quanminkge
org.ajmd	ajimidefm
com.kunpeng.babyting	baobeitingting
com.imusic.iting	aiting4g
com.shoujiduoduo.dj	djduoduo
com.evideo.MobileKTV	kmi
com.yiyou.ga	ttyuyin
cn.kuwo.tingshu	kuwotingshufm
com.ss.readpoem	weinisongdu
com.duoduo.duoduocartoon	duoduodonghuawu
com.youban.xblerge	xiaobanlongerge
com.tan8	danqinba
com.yusi.chongchong	chongchonggangqin
com.meet.pianolearn	gangqinjiaolian
com.theonepiano.pianist	zhinenggangqinke
com.duoduo.opera	xiquduoduo
com.shinyv.cnr	zhongguoguangbo
com.shoujiduoduo.duoshow	duolaidian
com.muyuan.android.ringtone	66lingsheng
com.ximalaya.ting.kid	ximalayaertong
cn.missevan	maoerfm
com.tencent.radio	qiefm-tingxiaoshuoxiangshengqingganyinle
com.kuaiyin.player	kuaiyin
com.cootek.national.ringtone	quanminlingsheng
com.zq.live	sige
com.iflytek.womusicclient	woyinyue
com.wandoujia.phoenix2	wandoujia
com.qihoo.appstore	360shoujizhushou
cn.goapk.market	anzhishichang
com.yingyonghui.market	yingyonghui
com.sogou.androidtool	sougoushoujizhushou
com.lion.market	chongchongzhushou
com.gh.gamecenter	guanghuanzhushou
com.aspire.mm	mmyingyongshangchang
com.tencent.tmgp.WePop	paopaokadingche
com.tencent.tmgp.cf	chuanyuehuoxian
com.tencent.tmgp.speedmobile	qq.feiche
com.pwrd.wlwz.aligames	wulinwaizhuan
com.tencent.pao	tiantiankupao
com.tencent.game.rhythmmaster	jiezoudashi
com.tencent.tmgp.supercell.clashofclans	buluochongtu
com.happyelements.AndroidAnimal.qq	kaixinxiaoxiaole
com.supercell.boombeach.uc	haidaoqibing
com.tencent.tmgp.qjnn	qijinuannuan
cn.jj	JJdoudezhu
com.huluxia.gametools	huluxia
com.bairimeng.dmmdzz.huawei	taopaobashaonian
com.netease.dhxy.uc	dahuaxiyou
com.tencent.JWX	aoshixiyou
com.gamebox.shiba	18youxihe
com.cw.gamebox	1haowanjia
com.sportq.fit	fit
com.yoosee	youkantou2
com.xtc.watch	xiaotiancai
com.qqgame.hlddz	huanledoudizhu
com.ztgame.bob	battleofballs
com.aiwu.market	aiwuyouxibaohe
com.blizzard.wtcg.hearthstone	lushichuanshuo
com.tencent.tmgp.sgame	wangzherongyao
com.netease.x19	wodeshijie
com.wepie.snake.tencent	tanchishedazuozhan
com.tencent.KiHan	huoyingrenzhe
com.join.android.app.mgsim.wufun	wufanyouxiting
com.ledou.mhhy.wdj	menghuanhuayuan
com.tencent.tmgp.pubgmhd	hepingjingying
com.tencent.tmgp.supercell.clashroyale	huangshizhanzheng
com.taptap	taptap
com.tencent.peng	tiantianaixiaochu
com.kiloo.subwaysurf	ditiepaoku
com.tencent.qt.qtl	zhangshangyingxionglianmeng
com.outfit7.mytalkingtomfree	wodetangmumao
com.tencent.qt.sns	zhangshangchuanyuehuoxian
com.kwai.sogame	kuaishouxiaoyouxi
com.tencent.tmgp.minitech.miniworld	wodeshijieminitech
com.kamitu.drawsth.standalone.free.android	fengkuangcaichengyu
com.tencent.gamehelper	tengxunyouxizhushou
com.tencent.tmgp.pvz2tx	zhiwudazhanjiangshi2
com.netease.tom.huawei	maohelaoshu
com.tencent.tmgp.NBA	zuiqiangnba
com.mewe.wolf	fanjulangrensha
com.tencent.game.SSGame	tiantianfeiche
com.tencent.tmgp.coslegend	yinghunzhiren
cn.flytalk.shudu	shudu
com.tencent.qqgame.xq	tiantianxiangqi
com.happyelements.AndroidClover.www	haibinxiaoxiaole
com.tencent.tmgp.bh3	benghuai3
com.tencent.shootgame	hundouluoguilai
com.qileyx.ddz.yyb	huanxidoudizhu
com.tencent.tmgp.qqx5	qqxuanwushouyou
com.tencent.qqlivekid	xiaoqieleyuan
com.ubestkid.beilehu.android	beilehuerge
com.tencent.fifamobile	fifazuqiushijie
com.lptiyu.tanke	budaolepao
com.ztgame.fir.uc	zhengtu2
